grid_id,ymd,weekday,month,day,hour,holiday,holiday_counter,holiday_days,holiday_bf_af,school_holiday,school_holiday_counter,school_holiday_days,school_holiday_bf_af,temperature,dew_point,humidity,pressure,wind_speed,weather,y
1,2017-01-02,0,1,2,9,1,3,3,0,1,3,3,0,13,11,88,1024,10.8,Fog,40.0
1,2017-01-02,0,1,2,10,1,3,3,0,1,3,3,0,13,11,88,1024,18.0,Light rain,23.0
1,2017-01-02,0,1,2,11,1,3,3,0,1,3,3,0,15,11,77,1024,10.8,Light rain,24.0
1,2017-01-02,0,1,2,12,1,3,3,0,1,3,3,0,15,10,72,1023,10.8,Fog,27.0
1,2017-01-02,0,1,2,13,1,3,3,0,1,3,3,0,15,10,72,1023,10.8,Fog,22.0
1,2017-01-02,0,1,2,14,1,3,3,0,1,3,3,0,14,11,82,1023,14.4,Fog,18.0
1,2017-01-02,0,1,2,15,1,3,3,0,1,3,3,0,14,10,77,1023,14.4,Fog,20.0
1,2017-01-02,0,1,2,16,1,3,3,0,1,3,3,0,14,10,77,1023,14.4,Fog,17.0
1,2017-01-02,0,1,2,17,1,3,3,0,1,3,3,0,13,9,77,1024,10.8,Fog,24.0
1,2017-01-02,0,1,2,18,1,3,3,0,1,3,3,0,13,9,77,1024,10.8,Fog,10.0
1,2017-01-02,0,1,2,19,1,3,3,0,1,3,3,0,12,8,77,1025,18.0,Clear,16.0
1,2017-01-02,0,1,2,20,1,3,3,0,1,3,3,0,10,8,87,1025,14.4,Clear,7.0
1,2017-01-02,0,1,2,21,1,3,3,0,1,3,3,0,9,8,93,1025,14.4,Cloudy,2.0
1,2017-01-02,0,1,2,22,1,3,3,0,1,3,3,0,9,7,87,1026,10.8,Cloudy,1.0
1,2017-01-03,1,1,3,9,0,0,0,2,0,0,0,2,10,8,87,1027,7.2,Fog,14.0
1,2017-01-03,1,1,3,10,0,0,0,2,0,0,0,2,11,8,82,1027,3.6,Cloudy,11.0
1,2017-01-03,1,1,3,11,0,0,0,2,0,0,0,2,11,9,88,1026,10.8,Cloudy,18.0
1,2017-01-03,1,1,3,12,0,0,0,2,0,0,0,2,12,9,82,1025,10.8,Cloudy,17.0
1,2017-01-03,1,1,3,13,0,0,0,2,0,0,0,2,12,8,77,1024,10.8,Fog,13.0
1,2017-01-03,1,1,3,14,0,0,0,2,0,0,0,2,13,8,72,1023,10.8,Fog,20.0
1,2017-01-03,1,1,3,15,0,0,0,2,0,0,0,2,14,8,67,1023,10.8,Fog,13.0
1,2017-01-03,1,1,3,16,0,0,0,2,0,0,0,2,14,7,63,1023,10.8,Fog,14.0
1,2017-01-03,1,1,3,17,0,0,0,2,0,0,0,2,13,8,72,1023,14.4,Clear,8.0
1,2017-01-03,1,1,3,18,0,0,0,2,0,0,0,2,12,8,77,1024,14.4,Clear,5.0
1,2017-01-03,1,1,3,19,0,0,0,2,0,0,0,2,11,7,76,1024,10.8,Clear,8.0
1,2017-01-03,1,1,3,20,0,0,0,2,0,0,0,2,11,7,76,1024,10.8,Clear,7.0
1,2017-01-03,1,1,3,21,0,0,0,2,0,0,0,2,11,8,82,1024,10.8,Clear,1.0
1,2017-01-03,1,1,3,22,0,0,0,2,0,0,0,2,11,7,76,1024,7.2,Clear,4.0
1,2017-01-04,2,1,4,9,0,0,0,0,0,0,0,0,13,10,82,1023,10.8,Clear,14.0
1,2017-01-04,2,1,4,10,0,0,0,0,0,0,0,0,15,11,77,1023,10.8,Cloudy,20.0
1,2017-01-04,2,1,4,11,0,0,0,0,0,0,0,0,15,11,77,1023,10.8,Cloudy,14.0
1,2017-01-04,2,1,4,12,0,0,0,0,0,0,0,0,16,11,72,1022,10.8,Cloudy,18.0
1,2017-01-04,2,1,4,13,0,0,0,0,0,0,0,0,16,11,72,1021,10.8,Cloudy,13.0
1,2017-01-04,2,1,4,14,0,0,0,0,0,0,0,0,16,11,72,1020,18.0,Cloudy,13.0
1,2017-01-04,2,1,4,15,0,0,0,0,0,0,0,0,15,10,72,1021,18.0,Cloudy,25.0
1,2017-01-04,2,1,4,16,0,0,0,0,0,0,0,0,15,10,72,1021,18.0,Cloudy,19.0
1,2017-01-04,2,1,4,17,0,0,0,0,0,0,0,0,14,10,77,1021,18.0,Cloudy,8.0
1,2017-01-04,2,1,4,18,0,0,0,0,0,0,0,0,14,10,77,1021,14.4,Cloudy,12.0
1,2017-01-04,2,1,4,19,0,0,0,0,0,0,0,0,14,9,72,1022,14.4,Light rain,9.0
1,2017-01-04,2,1,4,20,0,0,0,0,0,0,0,0,13,9,77,1022,14.4,Cloudy,4.0
1,2017-01-04,2,1,4,21,0,0,0,0,0,0,0,0,13,9,77,1021,18.0,Light rain,3.0
1,2017-01-04,2,1,4,22,0,0,0,0,0,0,0,0,13,9,77,1022,14.4,Light rain,1.0
1,2017-01-05,3,1,5,9,0,0,0,0,0,0,0,0,11,10,94,1020,21.6,Light rain,33.0
1,2017-01-05,3,1,5,10,0,0,0,0,0,0,0,0,11,10,94,1021,21.6,Light rain,9.0
1,2017-01-05,3,1,5,11,0,0,0,0,0,0,0,0,10,9,94,1020,21.6,Light rain,20.0
1,2017-01-05,3,1,5,12,0,0,0,0,0,0,0,0,11,9,88,1019,14.4,Light rain,14.0
1,2017-01-05,3,1,5,13,0,0,0,0,0,0,0,0,11,9,88,1019,18.0,Light rain,20.0
1,2017-01-05,3,1,5,14,0,0,0,0,0,0,0,0,11,10,94,1018,18.0,Light rain,15.0
1,2017-01-05,3,1,5,15,0,0,0,0,0,0,0,0,11,10,94,1019,14.4,Light rain,15.0
1,2017-01-05,3,1,5,16,0,0,0,0,0,0,0,0,11,10,94,1019,14.4,Light rain,11.0
1,2017-01-05,3,1,5,17,0,0,0,0,0,0,0,0,10,10,100,1020,21.6,Light rain,12.0
1,2017-01-05,3,1,5,18,0,0,0,0,0,0,0,0,11,10,94,1021,18.0,Light rain,12.0
1,2017-01-05,3,1,5,19,0,0,0,0,0,0,0,0,10,9,94,1021,18.0,Light rain,7.0
1,2017-01-05,3,1,5,20,0,0,0,0,0,0,0,0,10,9,94,1021,18.0,Light rain,6.0
1,2017-01-05,3,1,5,21,0,0,0,0,0,0,0,0,10,9,94,1022,18.0,Light rain,1.0
1,2017-01-05,3,1,5,22,0,0,0,0,0,0,0,0,10,9,94,1022,14.4,Light rain,3.0
1,2017-01-06,4,1,6,9,0,0,0,1,0,0,0,1,12,11,94,1023,14.4,Light rain,11.0
1,2017-01-06,4,1,6,10,0,0,0,1,0,0,0,1,12,12,100,1023,7.2,Overcast,18.0
1,2017-01-06,4,1,6,11,0,0,0,1,0,0,0,1,13,12,94,1022,10.8,Clear,16.0
1,2017-01-06,4,1,6,12,0,0,0,1,0,0,0,1,14,12,88,1021,10.8,Cloudy,15.0
1,2017-01-06,4,1,6,13,0,0,0,1,0,0,0,1,14,12,88,1020,10.8,Clear,15.0
1,2017-01-06,4,1,6,14,0,0,0,1,0,0,0,1,14,12,88,1020,7.2,Cloudy,13.0
1,2017-01-06,4,1,6,15,0,0,0,1,0,0,0,1,14,12,88,1019,10.8,Cloudy,13.0
1,2017-01-06,4,1,6,16,0,0,0,1,0,0,0,1,14,12,88,1019,18.0,Light rain,12.0
1,2017-01-06,4,1,6,17,0,0,0,1,0,0,0,1,13,12,94,1019,14.4,Light rain,12.0
1,2017-01-06,4,1,6,18,0,0,0,1,0,0,0,1,13,12,94,1019,14.4,Light rain,11.0
1,2017-01-06,4,1,6,19,0,0,0,1,0,0,0,1,13,12,94,1019,14.4,Light rain,10.0
1,2017-01-06,4,1,6,20,0,0,0,1,0,0,0,1,13,11,88,1019,18.0,Light rain,2.0
1,2017-01-06,4,1,6,21,0,0,0,1,0,0,0,1,13,11,88,1019,18.0,Light rain,3.0
1,2017-01-06,4,1,6,22,0,0,0,1,0,0,0,1,13,11,88,1019,21.6,Light rain,1.0
1,2017-01-07,5,1,7,9,1,1,2,0,1,1,2,0,13,12,94,1016,18.0,Light rain,20.0
1,2017-01-07,5,1,7,10,1,1,2,0,1,1,2,0,13,13,100,1016,18.0,Cloudy,16.0
1,2017-01-07,5,1,7,11,1,1,2,0,1,1,2,0,13,13,100,1015,14.4,Cloudy,17.0
1,2017-01-07,5,1,7,12,1,1,2,0,1,1,2,0,14,13,94,1014,10.8,Light rain,19.0
1,2017-01-07,5,1,7,13,1,1,2,0,1,1,2,0,14,13,94,1013,7.2,Light rain,13.0
1,2017-01-07,5,1,7,14,1,1,2,0,1,1,2,0,14,13,94,1013,7.2,Moderate rain,16.0
